MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,100;MINTBARRIO,C,10;NOMBRE_BAR,C,100;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;TOTAL_ELEM,N,10,0;ESTADO,C,50
8785833;D1554-DEPORTIVA CALLE RICARDO ORTIZ, 84;15;CIUDAD LINEAL;151;VENTAS;15/02/22;CALLE;RICARDO ORTIZ;84;11103458;0;OPERATIVO
7144369;D1964- Deportiva- CALLE DEL PENDULO 3A;19;VICALVARO;192;VALDEBERNARDO;17/09/20;CALLE;PENDULO;3A;20123311;9;ACTIVO
5107830;D1454- Deportiva- AV. DE  MORATALAZ, 54;14;MORATALAZ;145;FONTARRON;21/05/19;AVENIDA;MORATALAZ;54;20152921;11;ACTIVO
52122;D1251-Deportiva - CALLE DE BEASAIN 45;12;USERA;121;ORCASITAS;01/08/13;CALLE;BEASAIN;45;31030933;15;ACTIVO
52130;D1350-Deportiva- AVENIDA DE MIGUEL HERNANDEZ 11;13;PUENTE DE VALLECAS;134;PALOMERAS SURESTE;01/08/13;CALLE;RAFAEL FERNANDEZ HIJICOS;23;11096620;17;ACTIVO
52121;D1250-Deportiva - AV. DE LOS POBLADOS, 169;12;USERA;127;PRADOLONGO;01/08/13;AVENIDA;POBLADOS;169;31007159;22;ACTIVO
7356676;D1157 - Deportiva - CALLE DE LA GUITARRA 9;11;CARABANCHEL;116;BUENAVISTA;01/12/20;CALLE;GUITARRA;9;11077474;3;ACTIVO
3569421;D0652-Deportiva- GENERAL PERÓN 5;06;TETUAN;062;CUATRO CAMINOS;01/01/04;AVENIDA;GENERAL PERON;5;11029966;13;ACTIVO
52123;D1252-Deportiva -CALLE DEL SIMCA 6;12;USERA;121;ORCASITAS;01/08/13;CALLE;SIMCA;4;31002263;6;ACTIVO
52139;D1451-Deportiva - CALLE DE LA FUENTE CARRANTONA 61;14;MORATALAZ;142;HORCAJO;01/08/13;CALLE;FUENTE CARRANTONA;61;31041857;14;ACTIVO
7902152;D1864- Deportiva-CALLE DE MAZATERON 12;18;VILLA DE VALLECAS;183;ENSANCHE DE VALLECAS;19/05/21;CALLE;MAZATERON;12;31063532;10;ACTIVO
7930170;D1362- Deportiva- CALLE DE LA SIERRA TOLEDANA 65;13;PUENTE DE VALLECAS;136;NUMANCIA;30/07/21;CALLE;SIERRA TOLEDANA;65;11142930;3;ACTIVO
7908163;D0703-Deportiva- C/ RAIMUNDO FERNÁNDEZ VILLAVERDE 50;07;CHAMBERI;075;RIOS ROSAS;18/06/21;CALLE;RAIMUNDO FERNANDEZ VILLAVERDE;50;11042234;13;ACTIVO
7943813;D1764-Deportiva - CALLE DEL ORO 16;17;VILLAVERDE;173;BUTARQUE;26/08/21;CALLE;ORO;16;31050200;10;ACTIVO
4990656;D0452-Deportiva PARQUE DE LA AVENIDAS;04;SALAMANCA;044;GUINDALERA;14/01/19;AVENIDA;BRASILIA;4;31026006;15;ACTIVO
3568959;D0451-Deportiva PARQUE DE LA AVENIDAS;04;SALAMANCA;044;GUINDALERA;01/06/17;AVENIDA;BRASILIA;6;31026007;6;ACTIVO
3573005;D1950-Deportivas - CALLE DE LA LADERA DE LOS ALMENDROS 14E;19;VICALVARO;192;VALDEBERNARDO;20/10/13;CALLE;LADERA DE LOS ALMENDROS;14E;20151600;12;ACTIVO
3573050;D1156-Deportiva - CALLE DE EL TOBOSO 25;11;CARABANCHEL;113;SAN ISIDRO;14/09/17;CALLE;EL TOBOSO;25;11073134;13;ACTIVO
3573208;D1854-Deportiva -CALLE DE MARIA TERESA LEON 1G;18;VILLA DE VALLECAS;183;ENSANCHE DE VALLECAS;20/10/13;CALLE;MARIA TERESA LEON;1G;31026567;3;ACTIVO
3573330;D1850-Deportiva-CALLE DE ZAZUAR 12;18;VILLA DE VALLECAS;182;SANTA EUGENIA;23/10/13;CALLE;ZAZUAR;12;31011883;25;ACTIVO
3573332;D1855-Deportivas - CALLE DE POZA DE LA SAL 19;18;VILLA DE VALLECAS;182;SANTA EUGENIA;23/10/13;CALLE;POZA DE LA SAL;19;11131700;7;ACTIVO
3573331;D1851-Deportiva- CALLE DE POZA DE LA SAL 3;18;VILLA DE VALLECAS;182;SANTA EUGENIA;23/10/13;CALLE;POZA DE LA SAL;3;11131688;5;ACTIVO
3573016;D1953-Deportiva- AV. DE LA DEMOCRACIA, 50;19;VICALVARO;192;VALDEBERNARDO;20/10/13;AVENIDA;DEMOCRACIA;50;20165254;12;ACTIVO
52138;D1450- Deportiva- CALLE  JOSE BERGAMIN, 26-28;14;MORATALAZ;143;MARROQUINA;01/08/13;AVENIDA;DOCTOR GARCIA TAPIA;123;11101400;9;ACTIVO
3740686;D0501-Deportiva PARQUE FELIX RGUEZ. DE LA FUENTE;05;CHAMARTIN;052;PROSPERIDAD;01/12/17;CALLE;PADRE CLARET;38;31041818;5;ACTIVO
52132;D1352-Deportiva- RONDA  SUR 8;13;PUENTE DE VALLECAS;131;ENTREVIAS;01/08/13;RONDA;SUR;219;20084211;12;ACTIVO
52109;D1151-Deportiva - PASEO DE LA ERMITA DEL SANTO 76;11;CARABANCHEL;113;SAN ISIDRO;;PASEO;ERMITA DEL SANTO;74B;31048276;54;ACTIVO
3963526;D1752-Deportiva - AVENIDA DE LOS ROSALES 131;17;VILLAVERDE;173;BUTARQUE;18/12/13;AVENIDA;LOS ROSALES;116;31005158;23;ACTIVO
3971913;D1253-Deportiva - CALLE DE LA AÑAFIL 14;12;USERA;124;ALMENDRALES;08/02/16;CALLE;AÑAFIL;14;31009895;8;ACTIVO
4792788;D1956-Deportiva-  CALLE DE CORDEL DE PAVONES 9;19;VICALVARO;192;VALDEBERNARDO;07/12/17;CALLE;CORDEL DE PAVONES;9;31006992;8;ACTIVO
4792795;D1954-Deportiva- AUTOVIA  M-40 1500EX;19;VICALVARO;192;VALDEBERNARDO;20/12/17;AUTOVIA;M-40;1500EX;31031401;8;ACTIVO
4794560;D0653 - Deportiva - AZCA;06;TETUAN;062;CUATRO CAMINOS;18/06/18;PASEO;CASTELLANA;75 B;20181752;9;ACTIVO
4795141;D1355- Deportiva- AVENIDA DE MIGUEL HERNANDEZ 48;13;PUENTE DE VALLECAS;134;PALOMERAS SURESTE;08/06/17;AVENIDA;MIGUEL HERNANDEZ;48;20035278;6;ACTIVO
4986445;D1756-Deportiva - CALLE DE BENIFERRI 2;17;VILLAVERDE;172;SAN CRISTOBAL;30/11/18;CALLE;BENIFERRI;2;11126150;11;ACTIVO
4988302;D1958- Deportiva- CALLE DEL ALTO DEL ESPARRAGAL 214;19;VICALVARO;194;EL CAÑAVERAL;20/12/18;CALLE;ALTO DEL ESPARRAGAL;214;31047359;9;ACTIVO
4988362;D0502-Deportiva PARQUE PTA. DE AMERICA - CORAZON DE MARIA;05;CHAMARTIN;052;PROSPERIDAD;20/12/18;CALLE;CORAZON DE MARIA;18;20120209;4;ACTIVO
52070;D0650-Deportiva-PARQUE AGUSTIN RODRIGUEZ SAHAGUN (HUERTA OBISOPO);06;TETUAN;065;VALDEACEDERAS;22/02/06;;;;31028439;29;ACTIVO
5056315;D1254-Deportiva - CALLE RICARDO BELTRÁN Y RÓZPIDE, 20;12;USERA;126;ZOFIO;22/03/19;AVENIDA;PRINCESA JUANA DE AUSTRIA;47;20127260;12;ACTIVO
5197210;D0701-Deportiva- Jardines Revenga;07;CHAMBERI;071;GAZTAMBIDE;09/09/19;CALLE;MELENDEZ VALDES;32;20013208;5;ACTIVO
5209117;D1058-Deportiva CINE;10;LATINA;105;CAMPAMENTO;08/11/19;CALLE;CINE;33;11066850;3;ACTIVO
5218552;D0654-Deportiva- PARQUE SOROLLA;06;TETUAN;064;ALMENARA;17/12/19;CALLE;MONTOYA;57;11033227;4;ACTIVO
5219515;D0702 -AREA DEPORTIVA-GALILEO;07;CHAMBERI;072;ARAPILES;28/11/19;CALLE;GALILEO;35;31044128;6;ACTIVO
5219935;Pista Deportiva Papá Negro;16;HORTALEZA;162;PIOVERA;;;;;;3;ACTIVO
5220798;D1858 - Deportiva - CALLE DEL ALTO DEL RETIRO 13;18;VILLA DE VALLECAS;183;ENSANCHE DE VALLECAS;13/01/20;CALLE;ALTO DEL RETIRO;13;31045486;8;ACTIVO
