alojamiento_tipo;categoria;denominacion;via_tipo;via_nombre;numero;bloque;portal;escalera;planta;puerta;cdpostal;localidad;signatura
HOTEL;3-HOTEL;GRAN LEGAZPI;PASEO;de la Chopera;71;;;;;;28045;Madrid;HM-127
PENSION;2-PENSION;ISABEL;CALLE;de la Salud;13;;;;3ª;;28013;Madrid;HM-132
HOSTAL;2-HOSTAL;BESAYA;CALLE;de San Bernardo;13;;;;8ª;;28015;Madrid;HM-139
HOSTAL;3-HOSTAL;ASTORIA II;CRA;de San Jerónimo;32;;;;4º;D;28014;Madrid;HM-142
HOSTAL;3-HOSTAL;ALHAMBRA;CALLE;de Espoz y Mina;6;;;;2;2;28012;Madrid;HM-143
CASA HUESPEDES;CASA HUESPEDES;WOOHOO HOSTAL MADRID;CALLE;de Concepción Arenal;6;;;;3;D;28004;Madrid;HM-146
HOSTAL;2-HOSTAL;CONDESTABLE;CALLE;de la Puebla;15;;;;2ª;;28004;Madrid;HM-147
HOSTAL;2-HOSTAL;HISPANO;CALLE;de Hortaleza;38;;;;2;;28004;Madrid;HM-158
HOSTAL;2-HOSTAL;DELFINA;CALLE;Gran Vía;12;;;;4º;;28013;Madrid;HM-167
PENSION;1-PENSION;CONCHITA II;CALLE;de Campomanes;10;;;;4;EXT_IZ;28013;Madrid;HM-173
HOSTAL;2-HOSTAL;GALAICO;CALLE;Gran Vía;15;;;;5º;D;28013;Madrid;HM-175
PENSION;2-PENSION;SPLENDID;CALLE;Gran Vía;15;;;;5º;A;28013;Madrid;HM-179
PENSION;1-PENSION;EUREKA;CALLE;de la Montera;7;;;;3;;28013;Madrid;HM-181
HOSTAL;2-HOSTAL;RIESCO;CALLE;del Correo;2;;;;3º 4º;;28012;Madrid;HM-189
HOSTAL;2-HOSTAL;LAMALONGA;CALLE;Gran Vía;56;;;;2ª;;28013;Madrid;HM-193
PENSION;3-PENSION;RINCON DE GRAN VIA;CALLE;Gran Vía;67;;;;8ª;;28013;Madrid;HM-199
HOTEL;3-HOTEL;SANCHO;PASEO;de las Delicias;56;;;;;;28045;Madrid;HM-205
HOSTAL;2-HOSTAL;MARLASCA;CALLE;de la Cruz;14;;;;2ª-3ª;;28012;Madrid;HM-210
PENSION;1-PENSION;FENIX;CALLE;de Concepción Arenal;6;;;;1;;28004;Madrid;HM-213
CASA HUESPEDES;CASA HUESPEDES;ALSINDA;CALLE;de Carretas;31;;;;3º;;28012;Madrid;HM-215
HOSTAL;2-HOSTAL;SAN MARTIN;CALLE;de Concepción Arenal;4;;;;4º;Dcha.;28004;Madrid;HM-217
HOSTAL;2-HOSTAL;AMERICA;CALLE;de Hortaleza;19;;;;4º-5º;;28004;Madrid;HM-218
HOSTAL;2-HOSTAL;GRAN VIA 44;CALLE;Gran Vía;44;;;;8º;Dcha.;28013;Madrid;HM-221
HOSTAL;2-HOSTAL;MARIA LUISA;CALLE;de Hortaleza;19;;;;2ª;;28004;Madrid;HM-224
HOSTAL;2-HOSTAL;VAZQUEZ DE MELLA;PLAZA;de Pedro Zerolo;1;;;;3ª;;28004;Madrid;HM-226
HOSTAL;3-HOSTAL;LISBOA;CALLE;de Ventura de la Vega;17;ENTERO;;;;;28014;Madrid;HM-230
HOSTAL;1-HOSTAL;MIAMI;CALLE;Gran Vía;44;;;;8º;Izda.;28013;Madrid;HM-232
HOSTAL;2-HOSTAL;ANDORRA;CALLE;Gran Vía;33;;;;7ª;;28013;Madrid;HM-236
HOSTAL;2-HOSTAL;LAURIA;CALLE;Gran Vía;50;;;;4ª;;28013;Madrid;HM-237
HOSTAL;2-HOSTAL;SOTILEZA;CALLE;del Arenal;15;;;;3º;;28013;Madrid;HM-239
HOTEL;3-HOTEL;NH ALONSO MARTINEZ;CALLE;de Santa Engracia;5;;;;;;28010;Madrid;HM-240
PENSION;1-PENSION;TERAN;CALLE;de Esparteros;10;;;;3;;28012;Madrid;HM-241
HOSTAL;2-HOSTAL;HOSTAL CHARLOTTE;CALLE;Gran Vía;44;;;;9;PTA. I;28013;Madrid;HM-243
HOSTAL;2-HOSTAL;LA SELECTA;CALLE;Gran Vía;15;;;;6ª;;28013;Madrid;HM-244
HOTEL;3-HOTEL;STERLING;CALLE;de San Bernardo;29;;;;;;28015;Madrid;HM-2
HOSTAL;2-HOSTAL;AMERICANO;PLAZA;de la Puerta del Sol;11;;;;3º 4º;;28013;Madrid;HM-5
HOTEL;4-HOTEL;ATLANTICO;CALLE;Gran Vía;38;;;;;;28013;Madrid;HM-10
HOTEL;4-HOTEL;VINCCI CAPITOL;CALLE;Gran Vía;41;;;;;;28013;Madrid;HM-13
HOSTAL;1-HOSTAL;PALACIO MADRID;CALLE;del Príncipe;18;;;;3;IZDA;28012;Madrid;HM-15
HOTEL;5-HOTEL;INTERCONTINENTAL MADRID;PASEO;de la Castellana;49;;;;;;28046;Madrid;HM-16
HOTEL;3-HOTEL;PETIT PALACE CALLAO;CALLE;de la Chinchilla;6;;;;;;28013;Madrid;HM-18
HOTEL;4-HOTEL;CARLTON;PASEO;de las Delicias;26;;;;;;28045;Madrid;HM-23
HOTEL;3-HOTEL;PETIT PALACE CHUECA;CALLE;de Hortaleza;3;;;;;;28004;Madrid;HM-27
HOSTAL;2-HOSTAL;BIARRITZ;CALLE;de la Victoria;2;;;;2º;;28012;Madrid;HM-33
HOSTAL;2-HOSTAL;SLEEP'N ATOCHA;CALLE;del Doctor Drumen;4;;;;2;;28012;Madrid;HM-35
HOTEL;5-HOTEL;HOTEL BARCELO EMPERATRIZ;CALLE;de López de Hoyos;4;;;;;;28006;Madrid;HM-36
HOTEL;4-HOTEL;EMPERADOR;CALLE;Gran Vía;53;;;;;;28013;Madrid;HM-37
HOTEL;3-HOTEL;EUROPA;CALLE;del Carmen;4;;;;;;28013;Madrid;HM-38
HOSTAL;2-HOSTAL;EXCELSIOR;CALLE;Gran Vía;50;;;;2º;;28013;Madrid;HM-39
HOTEL;5-HOTEL;GRAN MELIA FENIX;CALLE;de Hermosilla;2;;;;;;28001;Madrid;HM-40
HOSTAL;3-HOSTAL;GALICIA;CALLE;de Valverde;1;;;;4º;;28004;Madrid;HM-41
HOTEL;4-HOTEL;EUROSTARS CASA DE LA LIRICA;CALLE;de la Aduana;19;;;;;;28013;Madrid;HM-42
HOTEL;3-HOTEL;PETIT PALACE TRIBALL;CALLE;de Gonzalo Jiménez de Quesada;2;;;;;;28004;Madrid;HM-47
HOTEL;3-HOTEL;MEDIUM CORTEZO;CALLE;del Doctor Cortezo;3;;;;;;28012;Madrid;HM-50
HOTEL;3-HOTEL;PRINCIPE PIO;CUSTA;de San Vicente;14;;;;;;28008;Madrid;HM-51
HOTEL;4-HOTEL;AC AITANA;PASEO;de la Castellana;152;;;;;;28046;Madrid;HM-52
HOSTAL;3-HOSTAL;PEREDA;CALLE;de Valverde;1;;;;2º;;28004;Madrid;HM-56
HOTEL;3-HOTEL;REGINA;CALLE;de Alcalá;19;;;;;;;Madrid;HM-57
HOTEL;3-HOTEL;REGENTE;CALLE;de Mesonero Romanos;9;;;;;;28013;Madrid;HM-59
HOTEL;3-HOTEL;MODERNO;CALLE;del Arenal;2;;;;;;28013;Madrid;HM-61
HOTEL;4-HOTEL;MAYORAZGO;CALLE;de la Flor Baja;3;;;;;;28013;Madrid;HM-63
HOTEL;2-HOTEL;MEDIODIA;PLAZA;del Emperador Carlos V;8;;;;;;28012;Madrid;HM-64
HOTEL;3-HOTEL;PETIT PALACE LONDRES;CALLE;de Galdo;2;;;;;;28013;Madrid;HM-67
HOTEL;5-HOTEL;WESTIN PALACE;PLAZA;de las Cortes;7;;;;;;28014;Madrid;HM-71
HOTEL;2-HOTEL;MEXICO;CALLE;del Gobernador;24;;;;;;28014;Madrid;HM-77
HOTEL;3-HOTEL;PORCEL GANIVET;CALLE;de Toledo;111;;;;;;28005;Madrid;HM-78
HOSTAL;2-HOSTAL;EL PILAR;CALLE;de Carretas;13;;;;2º-3º;;28012;Madrid;HM-88
HOSTAL;3-HOSTAL;THE WALT MADRID;CALLE;del Barco;3;ENTERO;;;;;28004;Madrid;HM-92
HOTEL;3-HOTEL;T3 TIROL;CALLE;del Marqués de Urquijo;4;;;;;;28008;Madrid;HM-96
HOTEL;5-HOTEL;BLESS HOTEL MADRID;CALLE;de Velázquez;62;;;;;;28001;Madrid;HM-101
HOSTAL;2-HOSTAL;VERACRUZ II;CALLE;de la Victoria;1;;;;3º 4º;;28012;Madrid;HM-103
HOTEL;5-HOTEL;WELLINGTON;CALLE;de Velázquez;8;;;;;;28001;Madrid;HM-106
HOTEL;4-HOTEL;NH ZURBANO;CALLE;de Zurbano;79;;;;;;28003;Madrid;HM-108
HOTEL;4-HOTEL;SUECIA;CALLE;del Marqués de Casa Riera;4;;;;;;28014;Madrid;HM-109
HOTEL;3-HOTEL;NH SUR;PASEO;de la Infanta Isabel;9;;;;;;28014;Madrid;HM-111
HOTEL;2-HOTEL;FRANCISCO I;CALLE;del Arenal;15;;;;;;28013;Madrid;HM-115
HOTEL;5 estrellas L;RITZ MADRID;PLAZA;de la Lealtad;5;;;;;;28014;Madrid;HM-118
HOTEL;2-HOTEL;CASUAL MADRID DEL TEATRO;CALLE;de Echegaray;1;;;;;;28014;Madrid;HM-123
HOTEL;4-HOTEL;NH SANVY;CALLE;de Goya;3;;;;;;28001;Madrid;HM-124
CASA HUESPEDES;CASA HUESPEDES;PAlLACIOS;CALLE;de Atocha;28;;;;2º;DCHA;28012;Madrid;HM-932
