ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;TOTAL_ELEM
"3568711";"Circuito deportivo elemental";"085";"LA PAZ";"08";"FUENCARRAL - EL PARDO";"OPERATIVO";"440597.409";"4481480.158";"ETRS89";40.48188794;-3.70085782;"CALLE";"PEDRO RICO";"1";"28029";"PARQUE NORTE 3 (ANTONIO LOPEZ AGUADO)";"20103366";"2017-03-08 00:00:00.0";"D0852";"AE21";5
"3569210";"Circuito deportivo elemental";"087";"MIRASIERRA";"08";"FUENCARRAL - EL PARDO";"OPERATIVO";"438497.359";"4482668.087";"ETRS89";40.49243629;-3.72574854;"CALLE";"MARIA DE MAEZTU";"108";"28049";"CALLE MARIA DE MAEZTU, 108 C/V SENDA DEL INFANTE";"31052003";"2017-10-09 00:00:00.0";"D0854";"AE21";9
"3573005";"Circuito deportivo elemental";"192";"VALDEBERNARDO";"19";"VICALVARO";"OPERATIVO";"446968.129";"4472539.445";"ETRS89";40.40177619;-3.62495143;"CALLE";"LADERA DE LOS ALMENDROS";"14E";"28032";"LADERA DE LOS ALMENDROS, 000014  E";"20151600";"2013-10-20 00:00:00.0";"D1950";"AE21";12
"3573016";"Circuito deportivo elemental";"192";"VALDEBERNARDO";"19";"VICALVARO";"OPERATIVO";"447538.376";"4471701.764";"ETRS89";40.39426594;-3.61816273;"AVENIDA";"DEMOCRACIA";"50";"28031";"AVDA DEMOCRACIA, 000050";"20165254";"2013-10-20 00:00:00.0";"D1953";"AE21";11
"3573208";"Circuito deportivo elemental";"183";"ENSANCHE DE VALLECAS";"18";"VILLA DE VALLECAS";"OPERATIVO";"449416.792";"4468380.836";"ETRS89";40.36446482;-3.59576665;"CALLE";"MARIA TERESA LEON";"1G";"28051";"MARÍA TERESA LEÓN, 000001  G";"31026567";"2013-10-20 00:00:00.0";"D1854";"AE21";3
"3573331";"Circuito deportivo elemental";"182";"SANTA EUGENIA";"18";"VILLA DE VALLECAS";"OPERATIVO";"448854.008";"4469974.395";"ETRS89";40.37878642;-3.60252259;"CALLE";"POZA DE LA SAL";"3";"28031";"POZA DE LA SAL, 000003";"11131688";"2013-10-23 00:00:00.0";"D1851";"AE21";5
"3573333";"Circuito deportivo elemental";"181";"CASCO HISTORICO DE VALLECAS";"18";"VILLA DE VALLECAS";"OPERATIVO";"446970.232";"4469259.493";"ETRS89";40.37222835;-3.62465361;"CALLE";"BABILAFUENTE";"2";"28031";"BABILAFUENTE, 000002";"20170570";"2013-10-20 00:00:00.0";"D1853";"AE21";4
"3573466";"Circuito deportivo elemental";"181";"CASCO HISTORICO DE VALLECAS";"18";"VILLA DE VALLECAS";"OPERATIVO";"446183.7";"4469509.077";"ETRS89";40.37442636;-3.63393894;"CARRETERA";"VILLAVERDE A VALLECAS";"289";"28031";"CTRA VILLAVERDE A VALLECAS, 000289";"20180908";"2013-10-20 00:00:00.0";"D1856";"AE21";9
"3963526";"Circuito deportivo elemental";"173";"BUTARQUE";"17";"VILLAVERDE";"OPERATIVO";"442618.92";"4466792.656";"ETRS89";40.34971738;-3.67568386;"AVENIDA";"LOS ROSALES";"116";"28021";"AVDA LOS ROSALES, 000116";"31005158";"2013-12-18 00:00:00.0";"D1752";"AE21";15
"451351";"Circuito deportivo elemental";"085";"LA PAZ";"08";"FUENCARRAL - EL PARDO";"OPERATIVO";"441321.504";"4481281.733";"ETRS89";40.48015194;-3.69229686;"AVENIDA";"MONFORTE DE LEMOS";"8";"28029";;"20095286";"2014-12-01 00:00:00.0";"D0850";"AE21";3
"451442";"Circuito deportivo elemental";"107";"AGUILAS";"10";"LATINA";"OPERATIVO";"435373.69";"4469890.539";"ETRS89";40.37709464;-3.76130634;"CALLE";"ROMPEDIZO";"15";"28044";;"31008043";"2004-01-01 00:00:00.0";"D1053";"AE21";6
"451531";"Circuito deportivo elemental";"101";"LOS CARMENES";"10";"LATINA";"OPERATIVO";"438156.422";"4472917.16";"ETRS89";40.40457098;-3.72882185;"AVENIDA";"CAPRICHOS";"14";"28011";"PARQUE CARAMUEL";"20148982";"2004-01-01 00:00:00.0";"D1055";"AE21";6
"451569";"Circuito deportivo elemental";"101";"LOS CARMENES";"10";"LATINA";"OPERATIVO";"437386.834";"4472392.482";"ETRS89";40.39978694;-3.73783906;"CALLE";"CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN";"5";"28047";;"31012806";"2004-01-01 00:00:00.0";"D1051";"AE21";3
"3568708";"Circuito deportivo elemental";"097";"ARAVACA";"09";"MONCLOA - ARAVACA";"OPERATIVO";"433267.985";"4478349.75";"ETRS89";40.45313183;-3.78699702;"CALLE";"ESCULTOR PERESEJO";"60";"28023";"ESCULTOR PERESEJO, 60-6 (PARQUE ARROYO POZUELO)";"20063772";"2006-01-25 00:00:00.0";"D0950";"AE21";11
"3568959";"Circuito deportivo elemental";"044";"GUINDALERA";"04";"SALAMANCA";"OPERATIVO";"444014.402";"4477014.432";"ETRS89";40.44189596;-3.66015131;"AVENIDA";"BRASILIA";"6";"28028";"AVENIDA DE BRASILIA, 6";"31026007";"2017-06-01 00:00:00.0";"D0451";"AE21";6
"3569421";"Circuito deportivo elemental";"062";"CUATRO CAMINOS";"06";"TETUAN";"OPERATIVO";"440796.973";"4478265.171";"ETRS89";40.45294030;-3.69820345;"AVENIDA";"GENERAL PERON";"5";"28020";;"11029966";"2004-01-01 00:00:00.0";"D0652";"AE21";9
"3573015";"Circuito deportivo elemental";"191";"CASCO HISTORICO DE VICALVARO";"19";"VICALVARO";"OPERATIVO";"449242.72";"4473418.808";"ETRS89";40.40983985;-3.59821817;"PASEO";"POLIDEPORTIVO";"144";"28032";"PASEO POLIDEPORTIVO, 000144";"20154043";"2013-10-23 00:00:00.0";"D1951";"AE21";11
"3573050";"Circuito deportivo elemental";"113";"SAN ISIDRO";"11";"CARABANCHEL";"OPERATIVO";"438262.046";"4471523.777";"ETRS89";40.39202660;-3.72744206;"CALLE";"EL TOBOSO";"25";"28019";"EL TOBOSO, 000025";"11073134";"2017-09-14 00:00:00.0";"D1156";"AE21";13
"3573330";"Circuito deportivo elemental";"182";"SANTA EUGENIA";"18";"VILLA DE VALLECAS";"OPERATIVO";"448301.546";"4470260.534";"ETRS89";40.38133007;-3.60905371;"CALLE";"ZAZUAR";"12";"28031";"ZAZUAR, 000012";"31011883";"2013-10-23 00:00:00.0";"D1850";"AE21";10
"3573332";"Circuito deportivo elemental";"182";"SANTA EUGENIA";"18";"VILLA DE VALLECAS";"OPERATIVO";"448611.623";"4469846.573";"ETRS89";40.37762000;-3.60536754;"CALLE";"POZA DE LA SAL";"19";"28031";"POZA DE LA SAL, 000019";"11131700";"2013-10-23 00:00:00.0";"D1855";"AE21";7
"3573350";"Circuito deportivo elemental";"181";"CASCO HISTORICO DE VALLECAS";"18";"VILLA DE VALLECAS";"OPERATIVO";"447019.825";"4469328.459";"ETRS89";40.37285280;-3.62407520;"CALLE";"BABILAFUENTE";"1";"28031";"BABILAFUENTE, 000001";"20170576";"2013-10-20 00:00:00.0";"D1852";"AE21";11
"3740686";"Circuito deportivo elemental";"052";"PROSPERIDAD";"05";"CHAMARTIN";"OPERATIVO";"443654.16";"4478163.306";"ETRS89";40.45222125;-3.66450074;"CALLE";"PADRE CLARET";"38";"28002";"PARQUE RODIGUEZ DE LA FUENTE";"31041818";"2017-12-01 00:00:00.0";"D0501";"AE21";5
"3971913";"Circuito deportivo elemental";"124";"ALMENDRALES";"12";"USERA";"OPERATIVO";"441061.856";"4470414.013";"ETRS89";40.38223207;-3.69435231;"CALLE";"AÑAFIL";"14";"28026";"AÑAFIL, 000014";"31009895";"2016-02-08 00:00:00.0";"D1253";"AE21";8
"451353";"Circuito deportivo elemental";"085";"LA PAZ";"08";"FUENCARRAL - EL PARDO";"OPERATIVO";"441083.071";"4481248.953";"ETRS89";40.47983976;-3.69510669;"AVENIDA";"MONFORTE DE LEMOS";"12";"28029";"PARQUE NORTE";"20095292";"2015-12-01 00:00:00.0";"D0851";"AE21";13
"451521";"Circuito deportivo elemental";"104";"ALUCHE";"10";"LATINA";"OPERATIVO";"435282.347";"4472326.805";"ETRS89";40.39903440;-3.76262980;"PASEO";"EXTREMADURA";"351";"28011";"CALLE SESEÑA, 34";"11068877";"2004-01-01 00:00:00.0";"D1054";"AE21";11
"451542";"Circuito deportivo elemental";"103";"LUCERO";"10";"LATINA";"OPERATIVO";"436461.177";"4472216.336";"ETRS89";40.39813003;-3.74872863;"CALLE";"CUART DE POBLET";"19";"28047";"PARQUE CUÑA VERDE";"31016351";"2021-05-06 00:00:00.0";"D1056";"AE21";10
"4792788";"Circuito deportivo elemental";"192";"VALDEBERNARDO";"19";"VICALVARO";"OPERATIVO";"447539.093";"4472342.717";"ETRS89";40.40004011;-3.61820709;"CALLE";"CORDEL DE PAVONES";"9";"28032";"CORDEL DE PAVONES, 000009";"31006992";"2017-12-07 00:00:00.0";"D1956";"AE21";8
