Tipo de encuesta;Nombre Encuesta;FechaFinParticipación;idParticipacion;FechaParticipacion;Marque NO, en caso de no querer realizar esta encuesta y querer darse de baja en la lista de distribución que se emplea para invitarle a participar en encuestas de satisfacción relacionadas con el servicio que presta la Biblioteca Musical Víctor Espinós.;¿Es usuario habitual?;¿Con qué frecuencia acude a la Biblioteca Musical Víctor Espinós?;¿Qué servicios de la Biblioteca Musical Víctor Espinós utiliza habitualmente? Seleccione todos los que utilice.;¿Qué documentos son los que más utiliza en la Biblioteca Musical Víctor Espinós? Seleccione todos los que utilice.;¿Ha utilizado el servicio de préstamo de documentos?;Queremos conocer qué opinión le merece el servicio de préstamo de documentos. Valore de 0 a 10, siendo 0 que está muy insatisfecho y 10, que está muy satisfecho.;¿Ha utilizado el Servicio de Reprografía de la Biblioteca Musical Víctor Espinós?;Queremos conocer qué opinión le merece el Servicio de Reprografía. Valore de 0 a 10, siendo 0 que está muy insatisfecho y 10, que está muy satisfecho;¿Ha participado en alguna actividad organizada por la Biblioteca Musical Víctor Espinós (conciertos, visitas guiadas, exposiciones, conferencias, talleres, presentaciones, etc.)?;¿Qué grado de satisfacción le merecen las actividades culturales? Puntúe de 0 a 10, siendo 0 que está muy insatisfecho y 10 que está muy satisfecho. (Opciones de selección única);¿Conoce la página web de la Biblioteca Musical Víctor Espinós?;La actualización de la información y los contenidos;Acceso al catálogo en línea;Búsquedas en el catálogo en línea;El edifico y las instalaciones;El trato recibido por el personal;El préstamo de instrumentos;La ordenación de la colección de libre acceso;La colección (libros, partituras, audiovisuales);La adecuación de la colección a sus necesidades;Tiempo de espera en la entrega de fondos ubicados en el depósito.;La información general y especializada recibida tras una consulta;El uso de la red wifi;Las condiciones de los pianos e instrumentos de las cabinas de ensayo;¿Cuál es su valoración general de la Biblioteca Musical Víctor Espinós y sus servicios? Valore de 0 a 10, siendo 0 que está muy insatisfecho y 10 que está muy satisfecho.;¿Qué tipo de material considera que se debería adquirir prioritariamente para mejorar el fondo de la Biblioteca Musical Víctor Espinós?(Seleccione todos los que considere necesarios).;"Si ha contestado ""Otros"" indiquemos cuáles.";De manera global, el servicio prestado por la Biblioteca Musical Víctor Espinós ha sido:;¿Qué medidas sugiere para mejorar la calidad de los servicios de la Biblioteca Musical Víctor Espinós del Ayuntamiento de Madrid?;¿En cuál de los siguientes grupos de edad se encuentra usted?;Gracias por su colaboración.;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190082;2021-11-23 11:27:36. 0;Iniciar la encuesta;No;Ocasionalmente;Servicio de préstamo de instrumentos musicales a domicilio;NS/NC;No;;No;;No;;Sí;7;No sabe;7;8;9;8;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;NS/NC;7;Libros infantiles relacionados con la música;;No sabe;;De 30 a 44 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190088;2021-11-23 11:34:9. 0;Iniciar la encuesta;Sí;Varios días a la semana;"Servicio de préstamo (libros, partituras, audiovisuales); Servicio de cabinas de ensayo ;Servicio de información general y especializada;Actividades culturales (conciertos, visitas guiadas, exposiciones, conferencias, talleres, etc.)";"Partituras;Libros;Audiovisuales (dvd, cd)";Sí;9;No;;Sí;10;Sí;9;8;9;9;10;9;NS/NC;10;9;9;9;8;6;9;Otros;Partituras musicales, de zarzuela, dvd de zarzuelas;Mejor de lo que esperaba;Un poco más silencio en espacios abiertos;De 30 a 44 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190091;2021-11-23 11:37:1. 0;Iniciar la encuesta;No;Varias veces al año;Servicio de préstamo de instrumentos musicales a domicilio;NS/NC;No;;No;;No;;No;;;;10;9;9;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;NS/NC;9;Otros;Instrumentos más nuevos;Igual que lo que esperaba;Instrumentos más nuevos;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190100;2021-11-23 11:45:57. 0;Iniciar la encuesta;Sí;Varios días al mes;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo ;Servicio de información general y especializada;Actividades culturales (conciertos, visitas guiadas, exposiciones, conferencias, talleres, etc.)";"Partituras;Libros;Revistas especializadas";Sí;9;No;;Sí;8;Sí;8;7;7;9;10;NS/NC;9;9;9;9;9;7;9;9;"Libros;Partituras;Revistas especializadas;Libros infantiles relacionados con la música";;Igual que lo que esperaba;Mejor accesibilidad a la documentación en armarios, a través de la web.;Más de 65 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190103;2021-11-23 11:47:30. 0;Iniciar la encuesta;Sí;Varios días a la semana;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo ;Servicio de préstamo de instrumentos musicales a domicilio;Servicio de información general y especializada";"Partituras;Libros;Audiovisuales (dvd, cd);Revistas especializadas;Colecciones especiales (programas de concierto, Quijotes musicales?)";Sí;9;No;;No;;Sí;5;0;2;10;9;No sabe;9;8;10;10;8;No sabe;NS/NC;9;"Libros;Partituras;Revistas especializadas";;Mejor de lo que esperaba;"La reprografía es inexistente. Lo peor de todo es que se sigue aportando en la web el servicio y no tienen ni maquina para hacer las copias. En la biblioteca me han comentado que se han llevado la máquina ""a otro sitio que hacía más falta"". Por favor, una biblioteca de esta categoría no puede no tener un servicio de reprografía de calidad. Además hoy es más fácil que nunca disponer de las herramientas para poder ofrecer el servicio.";De 18 a 29 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190105;2021-11-23 11:49:35. 0;Iniciar la encuesta;No;Varias veces al año;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de préstamo de instrumentos musicales a domicilio";Partituras;No;;No;;No;;No;;;;10;10;10;9;8;8;9;9;9;NS/NC;10;"Partituras;Libros infantiles relacionados con la música";;Mejor de lo que esperaba;;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190107;2021-11-23 11:52:18. 0;Iniciar la encuesta;No;Ocasionalmente;Servicio de préstamo de instrumentos musicales a domicilio;NS/NC;No;;No;;No;;No;;;;8;9;8;8;8;8;8;8;8;NS/NC;8;Otros;;Igual que lo que esperaba;;De 30 a 44 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190115;2021-11-23 12:1:36. 0;Iniciar la encuesta;No;Ocasionalmente;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo";"Partituras;Libros;Revistas especializadas";Sí;8;No;;Sí;8;No;;;;8;8;NS/NC;8;8;7;8;8;8;2;7;"Libros;Partituras;Revistas especializadas";;Igual que lo que esperaba;;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190117;2021-11-23 12:5:15. 0;Iniciar la encuesta;Sí;Una vez al mes;Servicio de préstamo (libros, partituras, audiovisuales);"Partituras;Libros";Sí;10;No;;No;;Sí;8;10;10;9;9;No sabe;NS/NC;7;9;No sabe;8;9;No sabe;9;"Partituras;Revistas especializadas";;Igual que lo que esperaba;Digitalización de fondos.;De 30 a 44 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190118;2021-11-23 12:6:9. 0;Iniciar la encuesta;Sí;Varios días al mes;Servicio de cabinas de ensayo;Audiovisuales (dvd, cd);No;;No;;No;;Sí;10;10;10;10;10;No sabe;10;10;NS/NC;10;10;10;10;10;"Libros;Audiovisuales (dvd, cd)";;Mejor de lo que esperaba;Coo baterista me gustaría que hubiese mas libros y partituras para este instrumento;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190121;2021-11-23 12:10:25. 0;Iniciar la encuesta;Sí;Ocasionalmente;Servicio de cabinas de ensayo;Partituras;No;;No;;Sí;10;Sí;10;8;8;10;10;10;10;10;10;10;10;10;NS/NC;9;Otros;Quizá otro tipo de información como revistas de música o algo por el estilo.;Mejor de lo que esperaba;Todo está bien, nada que añadir.;De 18 a 29 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190131;2021-11-23 12:21:1. 0;Iniciar la encuesta;Sí;Ocasionalmente;Servicio de préstamo (libros, partituras, audiovisuales);Libros;Sí;7;No;;No;;Sí;No sabe;6;6;8;5;No sabe;4;4;4;No sabe;5;No sabe;NS/NC;6;Libros;;No contesta;;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190132;2021-11-23 12:21:38. 0;NO;Sí;Varias veces al año;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190145;2021-11-23 12:40:24. 0;Iniciar la encuesta;Sí;Varios días a la semana;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo ;Actividades culturales (conciertos, visitas guiadas, exposiciones, conferencias, talleres, etc.)";"Partituras;Libros;Revistas especializadas";No;;Sí;9;Sí;9;Sí;9;9;9;10;10;NS/NC;10;9;9;10;10;8;9;10;"Libros;Partituras";;Mejor de lo que esperaba;Ahora que tenemos menos opciones de espacios por la Covid, sería deseable y bastante útil para los usuarios y la descongestión de las cabinas de ensayo, la apertura de estas en fin de semana. Gracias;De 30 a 44 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190149;2021-11-23 12:48:41. 0;Iniciar la encuesta;No;Ocasionalmente;Servicio de préstamo de instrumentos musicales a domicilio;NS/NC;No;;No;;No;;No;;;;9;9;7;1;1;8;9;NS/NC;1;1;9;NS/NC;;Igual que lo que esperaba;solo he utilizado el préstamo de una viola.;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190154;2021-11-23 12:51:45. 0;Iniciar la encuesta;No;Ocasionalmente;Servicio de préstamo de instrumentos musicales a domicilio;NS/NC;No;;No;;No;;Sí;7;7;7;10;10;10;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;NS/NC;9;"Libros;Partituras;Audiovisuales (dvd, cd)";;Mejor de lo que esperaba;Mayor inversión económica en prestamo de instrrumentos. En general, mayor inversión en la culrura.;De 45 a 64 años;NS/NC;
