idEncuesta;Nombre Encuesta;FechaFinParticipación;idParticipacion;FechaParticipacion;Distrito;Edad;Nacionalidad;Sexo;Marque NO, en caso de no querer realizar esta encuesta y querer darse de baja en la lista de distribución que se emplea para invitarle a participar en encuestas de satisfacción relacionadas con el servicio que presta la Biblioteca Musical Víctor Espinós.;¿Es usuario habitual?;¿Con qué frecuencia acude a la Biblioteca Musical Víctor Espinós?;¿Qué servicios de la Biblioteca Musical Víctor Espinós utiliza habitualmente? Seleccione todos los que utilice.;¿Qué documentos son los que más utiliza en la Biblioteca Musical Víctor Espinós? Seleccione todos los que utilice.;¿Ha utilizado el servicio de préstamo de documentos?;Queremos conocer qué opinión le merece el servicio de préstamo de documentos. Valore de 0 a 10, siendo 0 que está muy insatisfecho y 10, que está muy satisfecho.;¿Ha utilizado el Servicio de Reprografía de la Biblioteca Musical Víctor Espinós?;Queremos conocer qué opinión le merece el Servicio de Reprografía. Valore de 0 a 10, siendo 0 que está muy insatisfecho y 10, que está muy satisfecho;¿Ha participado en alguna actividad organizada por la Biblioteca Musical Víctor Espinós (conciertos, visitas guiadas, exposiciones, conferencias, talleres, presentaciones, etc.)?;¿Qué grado de satisfacción le merecen las actividades culturales? Puntúe de 0 a 10, siendo 0 que está muy insatisfecho y 10 que está muy satisfecho. (Opciones de selección única);¿Conoce la página web de la Biblioteca Musical Víctor Espinós?;La actualización de la información y los contenidos;Acceso al catálogo en línea;Búsquedas en el catálogo en línea;El edifico y las instalaciones;El trato recibido por el personal;El préstamo de instrumentos;La ordenación de la colección de libre acceso;La colección (libros, partituras, audiovisuales);La adecuación de la colección a sus necesidades;Tiempo de espera en la entrega de fondos ubicados en el depósito.;La información general y especializada recibida tras una consulta;El uso de la red wifi;Las condiciones de los pianos e instrumentos de las cabinas de ensayo;¿Cuál es su valoración general de la Biblioteca Musical Víctor Espinós y sus servicios? Valore de 0 a 10, siendo 0 que está muy insatisfecho y 10 que está muy satisfecho.;¿Qué tipo de material considera que se debería adquirir prioritariamente para mejorar el fondo de la Biblioteca Musical Víctor Espinós?(Seleccione todos los que considere necesarios).;"Si ha contestado ""Otros"" indiquemos cuáles.";De manera global, el servicio prestado por la Biblioteca Musical Víctor Espinós ha sido:;¿Qué medidas sugiere para mejorar la calidad de los servicios de la Biblioteca Musical Víctor Espinós del Ayuntamiento de Madrid?;¿En cuál de los siguientes grupos de edad se encuentra usted?;Gracias por su colaboración.
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;206757;2022-11-30 6:46:12. 0;;;;;Iniciar la encuesta;Sí;Varios días al mes;Servicio de cabinas de ensayo;Partituras;No;;No;;No;;Sí;No sabe, no contesta;6;6;5;7;No sabe, no contesta;6;6;6;6;7;NS/NC;3;7;Otros;- atriles en sala ensayo - sistema de control temperatura y acondicionado efectivo;Igual que lo que esperaba;- Sistema de control/regulacion de aire acondicionado /frio/calor de sala de ensayo especialmente caluroso en invierno - Renovacion de atriles: varios muy deteriorados;Más de 65 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205627;2022-10-24 10:37:34. 0;;;;;Iniciar la encuesta;No;Varias veces al año;Servicio de préstamo (libros, partituras, audiovisuales);Partituras;Sí;9;No;;No;;Sí;9;8;9;10;10;NS/NC;9;9;7;No sabe, no contesta;No sabe, no contesta;No sabe, no contesta;No sabe, no contesta;9;"Libros;Partituras";;Mejor de lo que esperaba;Ampliar el catálogo de partituras.;De 45 a 64 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205832;2022-10-26 8:36:48. 0;;;;;Iniciar la encuesta;Sí;Varias veces al año;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de préstamo de instrumentos musicales a domicilio";"Partituras;Libros";Sí;10;No;;No;;Sí;8;10;9;10;10;10;10;10;10;10;10;10;NS/NC;10;"Libros;Partituras";;Mejor de lo que esperaba;Ampliar el número de instrumentos en préstamo, es absolutamente insuficiente. Y permitir a las familias que todos sus hijos tengan acceso a un instrumento, no solo uno por familia, ya que ahora mismo se produce una clara discriminación entre nuestros hijos.;De 45 a 64 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205957;2022-11-1 14:37:58. 0;;;;;Iniciar la encuesta;No;Varias veces al año;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo ;Servicio de reproducción de documentos (fotocopias, digitalización)";"Partituras;Libros;Audiovisuales (dvd, cd)";Sí;8;Sí;5;No;;No;;;;10;10;8;9;10;8;10;9;NS/NC;9;9;"Partituras;Otros";Préstamo de instrumentos;Mejor de lo que esperaba;Aumentar la disponibilidad de salas de ensayo y préstamo de instrumentos;De 18 a 29 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205963;2022-11-2 11:37:5. 0;;;;;Iniciar la encuesta;Sí;Varias veces al año;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de información general y especializada;Servicio de reproducción de documentos (fotocopias, digitalización) ;Actividades culturales (conciertos, visitas guiadas, exposiciones, conferencias, talleres, etc.)";"Partituras;Libros;Audiovisuales (dvd, cd)";Sí;8;Sí;8;Sí;9;Sí;5;4;4;9;10;6;6;8;6;NS/NC;9;6;8;10;"Libros;Partituras;Audiovisuales (dvd, cd);Revistas especializadas";;Mejor de lo que esperaba;Aumentar la documentación existente. Realizar más conciertos gratuitos en sus instalaciones y divulgar más ampliamente la celebración de dichos conciertos. Más facilidades de uso de las cabinas de ensayo.;De 45 a 64 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205959;2022-11-1 15:25:58. 0;;;;;Iniciar la encuesta;Sí;Una vez al mes;Servicio de préstamo de instrumentos musicales a domicilio;NS/NC;No;;No;;No;;Sí;8;8;7;9;7;8;No sabe, no contesta;No sabe, no contesta;No sabe, no contesta;NS/NC;7;7;7;8;Otros;Mejor aislante entre las cabinas de piano.;Igual que lo que esperaba;Cerciorarse de que el sonido de las cabinas de piano no afecten a las adyacentes;De 18 a 29 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205689;2022-10-24 12:11:28. 0;;;;;Iniciar la encuesta;No;Ocasionalmente;"Servicio de préstamo (libros, partituras, audiovisuales);Actividades culturales (conciertos, visitas guiadas, exposiciones, conferencias, talleres, etc.)";"Partituras;Libros";Sí;10;Sí;10;No;;No;;;;10;9;No sabe, no contesta;8;7;7;No sabe, no contesta;NS/NC;No sabe, no contesta;No sabe, no contesta;9;"Libros;Partituras;Audiovisuales (dvd, cd);Revistas especializadas";;Igual que lo que esperaba;Comprar más libros sobre música. Yo he consultado los libros relacionados con la armónica y son escasos y ya no están actualizados. Respecto al resto de los instrumentos no sé si hay suficiente información, pero desde luego que respecto a la armónica hay poca cosa. Muchas gracias.;De 45 a 64 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205703;2022-10-24 12:44:10. 0;;;;;Iniciar la encuesta;Sí;Varios días al mes;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de información general y especializada;Actividades culturales (conciertos, visitas guiadas, exposiciones, conferencias, talleres, etc.)";"Partituras;Libros";Sí;10;No;;Sí;9;Sí;9;No sabe, no contesta;No sabe, no contesta;7;10;No sabe, no contesta;9;9;8;10;10;No sabe, no contesta;NS/NC;10;"Libros;Partituras;Libros infantiles relacionados con la música";;Mejor de lo que esperaba;Disminuir la burocracia que se requiere actualmente para la solicitud de documentos del archivo. Hacerlo más ágil.;Más de 65 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205639;2022-10-24 10:54:47. 0;;;;;Iniciar la encuesta;Sí;Varios días a la semana;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo ;Servicio de información general y especializada";Partituras;Sí;10;No;;No;;No;;;;7;10;No sabe, no contesta;9;3;2;No sabe, no contesta;10;8;NS/NC;8;Partituras;;Mejor de lo que esperaba;Enchufes donde las mesas para los que llevamos portátiles, por favor!;De 45 a 64 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205756;2022-10-24 17:4:1. 0;;;;;Iniciar la encuesta;Sí;Varios días al mes;Servicio de cabinas de ensayo;Partituras;Sí;8;No;;No;;Sí;8;6;5;9;9;9;9;9;9;9;9;10;NS/NC;9;Revistas especializadas;;Mejor de lo que esperaba;Equipo en cabinas de ensayo;De 45 a 64 años;NS/NC
