id;start_date;updated_date;survey_id;email;status;device_type;contact_id;contact_list_id;promotion_code;"1_¿Cuáles de estos servicios utiliza habitualmente? Marque todos los que utilice__Servicio de préstamo (libros, partituras, audiovisuales)";"1_¿Cuáles de estos servicios utiliza habitualmente? Marque todos los que utilice__Servicio de cabinas de ensayo";"1_¿Cuáles de estos servicios utiliza habitualmente? Marque todos los que utilice__Servicio de préstamo de instrumentos musicales a domicilio";"1_¿Cuáles de estos servicios utiliza habitualmente? Marque todos los que utilice__Servicio de información general y especializada";1_¿Cuáles de estos servicios utiliza habitualmente? Marque todos los que utilice__Servicio de reprografía de documentos (fotocopias, digitalización);1_¿Cuáles de estos servicios utiliza habitualmente? Marque todos los que utilice__Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);"2_¿Ha utilizado el servicio de préstamo de documentos?
";3_Valore el servicio de préstamo de documentos;"4_¿Ha utilizado el servicio de reprografía de la biblioteca?
";"5_Valore el servicio de reprografía de la biblioteca
";6_¿Ha participado en alguna actividad organizada por la biblioteca (visitas guiadas, conciertos, talleres, exposiciones, conferencias, presentaciones, etc.?;7_Valore la actividad realizada;8_¿Conoce la página web de la biblioteca?;9_Valore la actualización de la información y los contenidos;10_Valore el acceso al catálogo en línea;11_Valore las búsquedas en el catálogo en línea;"12_El edificio y sus instalaciones 
";"13_El trato recibido por el personal
";14_El préstamo de instrumentos;15_La ordenación de la colección de libre acceso;16_La adecuación de la colección a sus necesidades;17_Tiempo de espera con el suministro de fondos desde el depósito;18_La información general y especializada recibida tras una consulta;19_¿Ha utilizado la red Wifi?;20_La calidad de la conexión a través de la red WiFi;21_Las condiciones de los instrumentos de las cabinas de ensayo;22_¿Cuál es su valoración general de la biblioteca y sus servicios?;23_¿Qué medidas sugiere para mejorar la calidad de los servicios de la biblioteca?;24_¿Cuál es su grupo de edad?;25_¿Cuál es su sexo?;Columna1
40817723;2023-11-06 11:55:24;2023-11-06 11:56:26;339096;;Completa;Desktop;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;5;5;5;5;5;5;5;No;;6;7;;Menos de 18 años;Mujer;
40825431;2023-11-06 19:13:03;2023-11-06 19:18:56;339096;;Completa;Tablet;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;Servicio de información general y especializada;;;Sí;8;No;;Sí;8;Sí;9;9;9;8;9;;8;8;8;9;No;;;9;Invertir en tan maravillosa institución;De 41 a 64 años;Hombre;
40825583;2023-11-06 19:36:30;2023-11-06 20:02:14;339096;;Completa;Tablet;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;Servicio de información general y especializada;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);Sí;10;No;;No;;No;;;;7;10;9;;7;;8;No;;8;9;.;De 41 a 64 años;Hombre;
40830147;2023-11-07 09:22:31;2023-11-07 11:59:03;339096;;Completa;Tablet;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;Sí;9;No;;Sí;10;No;;;;10;10;;9;;;10;No;;10;10;De momento no se me ocurre nada. Todo perfecto, sobre todo los aseos;Más de 65 años;Hombre;
40853828;2023-11-07 12:05:59;2023-11-07 12:46:57;339096;;Completa;Tablet;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);Sí;10;Sí;10;Sí;10;Sí;9;10;9;10;10;10;10;8;10;10;Sí;10;8;10;Apertura en fines de semana ;De 41 a 64 años;Mujer;
40861061;2023-11-07 12:48:21;2023-11-07 13:36:38;339096;;Completa;Tablet;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;No;;No;;Sí;9;Sí;8;8;8;9;10;;8;9;9;9;No;;9;9;Mayor insonorización cabinas de ensayo;De 26 a 40 años;Hombre;
40861435;2023-11-07 13:37:10;2023-11-07 13:47:44;339096;;Completa;Tablet;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);Sí;9;No;;Sí;8;No;;;;9;9;8;8;8;6;7;No;;8;9;;De 18 a 25 años;Hombre;
40863718;2023-11-07 13:49:05;2023-11-07 13:57:01;339096;;Completa;Tablet;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;Sí;10;No;;No;;Sí;8;8;8;10;10;10;10;10;10;10;Sí;2;10;10;;De 41 a 64 años;Hombre;
40865107;2023-11-07 13:57:30;2023-11-07 14:01:41;339096;;Completa;Tablet;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;10;10;10;10;10;10;10;10;10;10;Sí;5;10;10;Mejora de la velocidad de Internet ;De 26 a 40 años;Hombre;
40865612;2023-11-07 14:02:07;2023-11-07 14:12:49;339096;;Completa;Tablet;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;Sí;10;No;;;;7;7;5;5;5;10;7;No;;;7;;De 26 a 40 años;Mujer;
