id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50904,aplace/antwerp: cosy suite - fashion district,234077,Calvin,,Historisch Centrum,51.218575,4.398631,Hotel room,199,1,3,2022-05-15,0.03,4,345,0,
345959,Marleen's home in Antwerp city,1754396,Marleen,,Markgrave,51.2015,4.40004,Entire home/apt,71,3,121,2024-12-15,0.79,1,262,21,
363155,1-bedroom apartment with court yard,1835458,Roos,,Amandus - Atheneum,51.22109,4.41812,Entire home/apt,75,6,33,2024-07-21,0.22,1,239,1,
366252,ROOM IN FAMILY HOME near C. Station,1820186,Godelieve,,Borgerhout Intra Muros Noord,51.21602,4.43472,Private room,39,1,162,2024-09-26,1.04,2,118,2,
522693,Ahome Awayfromhome,2562294,Ahome,,Historisch Centrum,51.21943,4.39815,Entire home/apt,,2,0,,,1,0,0,
603545,*Perfect* for a Longer Stay | Trendy | City center,2987880,Cédric,,Harmonie,51.20819,4.40597,Entire home/apt,82,3,46,2024-11-08,0.31,1,293,14,
685049,Stylish decorated  room in 'art nouveau house',3493319,Glenn,,Oud - Berchem,51.19382,4.41464,Private room,85,2,3,2019-11-24,0.02,2,104,0,
772842,Stylish Boho Loftstyle Appartment w/ Amazing Views,4050173,Daisy,,Linkeroever,51.21843,4.38422,Entire home/apt,105,5,78,2024-12-15,0.53,1,179,4,
778043,cosy & beautiful apartment Antwerp,1735092,Marc & Elizabeth,,Stadspark,51.20446,4.41337,Entire home/apt,99,2,90,2024-12-15,0.62,1,334,5,
813969,150 m² loft (terrace & river view),4277604,Sarah,,Sint-Andries,51.21347,4.39125,Entire home/apt,370,1,137,2024-12-01,1.18,1,11,10,
890384,A terrace and plunchpool in Antwerp city,3185214,Annemie,,Centraal Station,51.21264,4.42573,Entire home/apt,,5,1,2024-07-30,0.20,1,0,1,
891884,aplace/antwerp: amazing suite & square view,234077,Calvin,,Historisch Centrum,51.218575,4.398631,Hotel room,197,1,3,2022-05-10,0.05,4,343,0,
891907,aplace/antwerp: stunning flat with square view,234077,Calvin,,Historisch Centrum,51.218575,4.398631,Entire home/apt,232,2,31,2024-12-16,0.24,4,327,7,
959200,Artistic Guesthouse Anita - Hidden Gem in Antwerp,4715596,Caroline & Klaas,,Borgerhout Intra Muros Noord,51.21531295776367,4.438202857971191,Entire home/apt,95,2,77,2024-10-31,0.57,3,107,5,
991824,Colourful Inspiration In Every Room,5446991,Magali,,Deurne Zuid West,51.20316,4.46015,Entire home/apt,77,1,370,2024-12-02,2.60,2,343,37,
1050693,Colourful Inspiration In Every Room,5446991,Magali,,Deurne Zuid West,51.20316,4.46015,Entire home/apt,77,1,34,2024-08-18,0.25,2,343,3,
1105318,"Number22Antwerp, cosy duplex",6068286,Frédéric,,Zuid,51.21147,4.40005,Entire home/apt,101,7,45,2024-08-01,0.32,3,360,1,
1172376,"Number22Antwerp, Cosy & Trendy Flat",6068286,Frédéric,,Zuid,51.21125,4.40108,Entire home/apt,97,3,26,2024-08-02,0.19,3,267,3,
1172507,"Number22Antwerp ,street Floor",6068286,Frédéric,,Zuid,51.21174,4.39944,Entire home/apt,96,2,191,2023-08-02,1.39,3,360,0,
1184623,Penthouse in Antwerp-Eilandje,4865806,Tommie,,Eilandje,51.23006,4.40869,Entire home/apt,225,2,41,2024-12-15,0.30,2,170,5,
1227242,Cosy ship Auwe Neel Antwerp Belgium,4193029,Jan,,Eilandje,51.22861,4.40386,Private room,91,1,86,2024-12-01,1.46,2,301,26,
1328770,Cosy historic Ship Hannus  Antwerp,4193029,Jan,,Eilandje,51.22868,4.40399,Private room,100,1,221,2024-12-08,1.59,2,298,20,
1444602,Beautiful and spacious apartment with garden,7755956,Sabien,,Zurenborg,51.20819,4.42707,Entire home/apt,,5,18,2023-08-31,0.13,1,0,0,
1504952,"""Antwerp B&B""",573329,Patricia,,Centraal Station,51.21775,4.42684,Private room,40,30,57,2024-01-01,0.41,1,0,1,
1669599,Loft appartement Antwerp,7776913,Morris,,Tentoonstellingswijk,51.19112,4.38969,Entire home/apt,136,2,0,,,1,88,0,
1808782,LOFT 1D  - conceptual loft,9478810,Keith,,Sint-Andries,51.21232,4.39571,Entire home/apt,116,2,283,2024-12-16,2.11,1,86,25,
1897272,Casa Ambera,9174116,Sascha,,Haringrode,51.20079,4.41933,Entire home/apt,270,2,62,2019-07-29,0.46,2,363,0,
1901179,Cosy apartment near Central Station,4417826,Timur,,Amandus - Atheneum,51.22098,4.42542,Entire home/apt,69,1,607,2024-12-14,4.50,1,328,52,
2282418,Appartement met 1 slaapkamer,11633996,Samira,,Borgerhout Extra Muros,51.21264,4.45213,Entire home/apt,,2,196,2024-08-28,1.68,1,0,28,
2448815,Maison Nationale Penthouse Suite,450285303,Lander,,Sint-Andries,51.21603012084961,4.399158954620361,Private room,245,1,0,,,10,332,0,
2474748,Sunny house Antwerp-Zuid. Parking spot included.,7818030,Dominique,,Zuid,51.20907,4.38672,Entire home/apt,340,2,249,2024-12-06,1.89,2,63,12,
2507353,Cosy private room near station/town,2330818,Annemie,,Amandus - Atheneum,51.21877,4.42976,Private room,52,2,199,2024-12-15,1.52,1,262,26,
2543695,aplace/antwerp: gorgeous flat with square view,234077,Calvin,,Historisch Centrum,51.218575,4.398631,Entire home/apt,237,1,38,2024-11-14,0.31,4,350,5,
2602613,Light and spacious duplex apartment,13330269,Joelle,,Borgerhout Intra Muros Zuid,51.21595,4.43032,Entire home/apt,65,2,288,2024-12-08,2.20,1,135,43,
2659281,Gezellig rijtjeshuis met tuin vlakbij groot park.,6602849,Rudina,,Deurne Dorp - Gallifort,51.21962,4.45746,Entire home/apt,200,2,15,2024-10-28,0.51,1,29,6,
2682808,Cosy room in a charming house,13733939,An,,Oud - Berchem,51.19926,4.42986,Private room,52,2,539,2024-12-08,4.12,1,345,50,
2819412,"laterrebleue-'my house, your house'",14423888,Terra,,Borgerhout Intra Muros Zuid,51.20914,4.43539,Private room,41,1,165,2024-07-28,1.42,1,358,10,
3581864,Sunny apartment with view on new ZUID park!,7386200,Mathieu,,Zuid,51.21179,4.39336,Entire home/apt,97,2,146,2024-12-08,1.16,1,190,21,
3857702,Apartment - 4 Guests - City Center Antwerp,19891615,Bart,,Universiteitsbuurt,51.22173,4.4092,Entire home/apt,230,2,43,2023-10-29,0.36,3,290,0,
3860392,Studio - City Center Antwerp,19891615,Bart,,Universiteitsbuurt,51.22118,4.4078,Private room,90,2,6,2024-03-04,0.05,3,294,1,
4178600,"Room in house, free parking + bikes",21679611,Tom,,Zurenborg,51.20905,4.42731,Private room,85,1,196,2024-12-14,1.61,1,1,11,
4265913,stadswoning/privé-parking/elektrisch laden,22144864,Greet,,Amandus - Atheneum,51.21765,4.4284,Entire home/apt,254,2,29,2024-08-11,0.24,4,361,1,
4266515,Luxueuze herenwoning met parking,22144864,Greet,,Amandus - Atheneum,51.218739887595014,4.428639977092803,Private room,200,2,0,,,4,362,0,
4322521,Duplex with sauna & piano Antwerp,15216532,Pascal,,Zuid,51.20585,4.38986,Entire home/apt,195,2,327,2024-10-28,2.68,2,183,13,
